CompanyLogo,Company,Code,Rank,MarketCap,Country,Categories,Description
https://companiesmarketcap.com/img/company-logos/256/AAPL.png,Apple,AAPL,#1,$3.506 T,🇺🇸 USA,"Tech, Software, Dow jones, Tech Hardware, Electronics, AI","Apple Inc. is an American hardware and software developer and technology company that develops and sells computers, smartphones and consumer electronics as well as operating systems and application software. Apple also operates internet sales portals for music, films and software."
https://companiesmarketcap.com/img/company-logos/256/MSFT.png,Microsoft,MSFT,#2,$3.415 T,🇺🇸 USA,"Software, Tech, Dow jones, Video games, AI","Microsoft is an American company that develops and distributes software and services such as: a search engine (Bing), cloud solutions and the computer operating system Windows."
https://companiesmarketcap.com/img/company-logos/256/NVDA.png,NVIDIA,NVDA,#3,$3.231 T,🇺🇸 USA,"Tech, Semiconductors, Electronics, Tech Hardware, Autonomous driving, AI","Nvidia Corporation is one of the largest developers of graphics processors and chipsets for personal computers and game consoles. The head office is in Santa Clara, California. NVIDIA Corporation does not have its own manufacturing facilities and therefore works according to the fabless principle.
The company was founded in January 1993 by Jen-Hsun Huang, Curtis Priem and Chris Malachowsky. In May 1995, Nvidia launched the NV1 (STG-2000), one of the first 3D accelerator processors (GPU). In January 1999, Nvidia was included in the NASDAQ (NVDA) and delivered the ten millionth graphics chip in the same year. In the Forbes Global 2000 of the world's largest companies, Nvidia ranks 572 (as of: 2017 financial year). The company had a market value of approximately US $155 billion in mid-2018."
https://companiesmarketcap.com/img/company-logos/256/GOOG.png,Alphabet (Google),GOOG,#4,$2.343 T,🇺🇸 USA,"Internet, Tech, Software, Autonomous driving, AI","Alphabet Inc. is a listed US holding company of the former Google LLC, which continues to exist as a subsidiary. The headquarters is Mountain View in Silicon Valley. The company is led by Sundar Pichai as CEO.
With sales of $137 billion, a profit of $30.7 billion and a market value of $ 863.2 billion, Alphabet Inc. ranks 17th among the world's largest companies according to Forbes Global 2000 (as of 4th November 2019). The company had a market cap of $ 766.4 billion in early 2018. In 2019, Alphabet had annual sales of $161.9 billion and an annual profit of $34.3 billion."
https://companiesmarketcap.com/img/company-logos/256/AMZN.png,Amazon,AMZN,#5,$2.074 T,🇺🇸 USA,"E-Commerce, Internet, Tech, Retail, Dow jones","Amazon.com, Inc. is an American online retailer with a wide range of products. According to its own information, Amazon, as the market leader in Internet trade, has the world's largest selection of books, CDs and videos. Via the integrated sales platform Marketplace, private individuals or other companies can also offer new and used products as part of online trading. The Amazon Kindle is sold under its own brand as a reader for electronic books, the Amazon Fire HD tablet computer, the Fire TV set-top box, the Fire TV Stick HDMI stick and the Echo speech recognition system.
With sales of $280 billion in 2019, a profit of $11.6 billion, and a market value of $1.32 trillion (June 2020), it was the third most valuable after Apple and Microsoft, and even before Google United States company."
https://companiesmarketcap.com/img/company-logos/256/2222.SR.png,Saudi Aramco,2222.SR,#6,$1.814 T,🇸🇦 Saudi Arabia,"Oil&Gas, Energy",Saudi Aramco is the Saudi Arabian national petroleum and natural gas company. As of 2020 it is the largest oil producing company in the world and has the world's second-largest proven crude oil reserves.
https://companiesmarketcap.com/img/company-logos/256/META.png,Meta Platforms (Facebook),META,#7,$1.344 T,🇺🇸 USA,"Tech, Internet, AI",No description
https://companiesmarketcap.com/img/company-logos/256/TSM.png,TSMC,TSM,#8,$956.93 B,🇹🇼 Taiwan,"Semiconductors, Tech, Manufacturing, Tech Hardware","Taiwan Semiconductor Manufacturing Company, Limited is the world's third largest semiconductor manufacturer after Intel and Samsung and the world's largest independent contract manufacturer of semiconductor products. The company was founded in 1987. The headquarters and the main parts of the company are located in Hsinchu, Taiwan."
https://companiesmarketcap.com/img/company-logos/256/BRK-B.png,Berkshire Hathaway,BRK-B,#9,$886.56 B,🇺🇸 USA,Investment,"Berkshire Hathaway Inc. is an American holding company, whose conglomerate includes over 80 companies with activities spanning a wide range of business areas, including insurance and reinsurance, rail freight, energy supply, financial services, manufacturing, and wholesale and retail. The chairman is the major US investor and multi-billionaire Warren Buffett."
https://companiesmarketcap.com/img/company-logos/256/LLY.png,Eli Lilly,LLY,#10,$839.62 B,🇺🇸 USA,"Pharmaceuticals, Biotech","With over 33,000 employees worldwide, production plants in 13 countries and annual sales of over $22 billion worldwide, Eli Lilly and Company is one of the largest pharmaceutical companies in the world. It was founded in Indianapolis in 1876 by the pharmacologist, officer and entrepreneur Eli Lilly."
